file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
nep_6834_6727338945,0.0,5.841333333333333,mfa_input,-49.84624491652397,-51.510384718577065,7.245379701434613,5.527856781805616
nep_0546_8288093433,0.0,4.537333333333334,mfa_input,-42.045825302863435,-43.148444078406506,7.245379701434613,22.180775870024434
nep_6834_5592477130,0.0,4.107333333333333,mfa_input,-50.663682329683695,-53.38795617047478,7.245379701434613,5.876346939199445
nep_3960_6022396988,0.0,5.689333333333333,mfa_input,-48.760249615553604,-49.427228110177175,7.245379701434613,1.730185413489794
nep_0546_4272781089,0.0,6.298,mfa_input,-48.161139012896825,-48.95947245808391,7.245379701434613,4.92022589476187
nep_0546_7059399731,0.0,3.938,mfa_input,-47.275013880076145,-48.28453727201982,7.245372299490059,16.993759439571114
nep_2139_2081018389,0.0,4.734,mfa_input,-51.700151955602536,-53.28836898803711,7.24535749560095,5.510055007154486
nep_2099_6828893048,0.0,5.024666666666667,mfa_input,-47.58644718002988,-51.296180725097656,7.158843154275447,5.552633191412202
nep_2099_7913051626,0.0,8.981,mfa_input,-46.28532154788419,-47.6488662759463,7.094637314217995,10.040264301441425
nep_2099_4979236297,0.0,7.499,mfa_input,-46.71653645833333,-49.244243511255235,7.094637314217995,3.464883876859089
nep_0546_7502845342,0.0,5.411,mfa_input,-47.48168178142329,-48.142984889103815,7.094634589217332,22.163552038987575
nep_6834_7496761736,0.0,5.4046666666666665,mfa_input,-44.49019820601852,-46.600243848912854,7.094631864216669,7.569512946443956
nep_6834_3932181570,0.0,10.586666666666666,mfa_input,-49.94735230760151,-51.4399327581579,7.094626414215342,3.200215268711233
nep_0546_6561926136,0.0,5.112666666666667,mfa_input,-48.43017673679061,-48.688440561294556,7.080647478436616,6.914951730532948
nep_6834_0755613258,0.0,2.1983333333333333,mfa_input,-48.49208096590909,-48.31830647786458,7.070584742541297,21.14614235680554
nep_0546_6160964956,0.0,7.418666666666667,mfa_input,-49.265166989555254,-50.15435507358649,7.012545118481844,1.3733205778918656
nep_3614_5297859826,0.0,2.841666666666667,mfa_input,-49.07914970290493,-50.988400323050364,6.988524991217014,8.707322662926446
nep_2099_8053716497,0.0,10.184666666666667,mfa_input,-51.98215710952849,-49.63041205155222,6.770380911335513,4.793025776598105
nep_3614_7407832650,0.0,8.558666666666667,mfa_input,-47.7643472546729,-47.70505258896772,6.726522982956238,11.12746754317981
nep_2099_2148816873,0.0,7.483333333333333,mfa_input,-45.14855761196524,-48.342664185692286,6.637458502929826,5.911345363238944
nep_3960_7402954519,0.0,5.001333333333333,mfa_input,-50.3439296875,-51.297662814458214,6.637458502929826,7.440623154474116
nep_2099_6880385108,0.0,7.108333333333333,mfa_input,-47.13560895745429,-48.99584291802078,6.637455777929163,14.606847864765626
nep_3614_5012169722,0.0,3.949666666666667,mfa_input,-48.76625296677215,-49.711804467278554,6.637455777929163,5.251775410831424
nep_6834_9351558392,0.0,5.980333333333333,mfa_input,-50.707831443352845,-51.053194382611444,6.6374530529285,13.32660540675875
nep_0546_0685084826,0.0,10.464666666666666,mfa_input,-46.66107119383365,-46.90887265286203,6.637447602927173,4.629149351875014
nep_6834_5966581481,0.0,10.093333333333334,mfa_input,-52.76272918731417,-54.31979087988535,6.624482386365611,12.536704838031488
nep_3614_0101353676,0.0,4.421333333333333,mfa_input,-50.606423218325794,-51.293711280822755,6.624467582476502,14.325747523277252
nep_0883_6745833485,0.0,4.92,mfa_input,-54.770928607723576,-55.87464171189528,6.624467582476502,5.547890556936991
nep_6834_4308275060,0.0,5.607666666666667,mfa_input,-49.39710408311052,-50.6825621361826,6.624460180531947,6.18028679012202
nep_5687_7262327008,0.0,8.819666666666667,mfa_input,-49.03396488803855,-49.974746890184356,6.624460180531947,6.701267229406442
nep_2099_4436163003,0.0,4.281,mfa_input,-47.80882191880841,-49.356853612264,6.624460180531947,3.8057543011824446
nep_0546_5881846858,0.0,4.488333333333333,mfa_input,-43.126700828229396,-43.543054938316345,6.624460180531947,22.83538240454061
nep_0283_5158477137,0.0,5.959666666666666,mfa_input,-48.90560769714765,-50.19775144259135,6.624460180531947,4.123323548133179
nep_3614_4039936347,0.0,3.438,mfa_input,-49.404580759447676,-49.496643490261505,6.624460180531947,9.739193910459848
nep_0546_2648001614,0.0,5.579666666666666,mfa_input,-46.714353718637994,-47.064119312498306,6.624460180531947,13.68172683409577
nep_0546_1567992918,0.0,3.315,mfa_input,-43.270496046686745,-42.546738028526306,6.624460180531947,11.57929142603969
nep_0258_1139532706,0.0,4.623333333333333,mfa_input,-52.87658532873377,-55.366596092612056,6.624459255288878,15.098786919534598
nep_3960_2696344235,0.0,3.078,mfa_input,-49.92904385653409,-49.601225171770366,6.624452778587393,15.050954123542791
nep_5687_3296740400,0.0,11.379333333333333,mfa_input,-48.78877073264499,-51.06216938090774,6.624452778587393,6.985289150556886
nep_6834_8313324263,0.0,10.858666666666666,mfa_input,-52.347271380064456,-54.59662525326598,6.52985802182036,6.841857571217018
nep_2099_4909848859,0.0,8.276333333333334,mfa_input,-46.22417534722222,-49.04970548182358,6.499608135007093,5.031916071294173
nep_6834_5295537087,0.0,8.658,mfa_input,-52.2790307448037,-53.493234395980835,6.456155693458545,4.479230039756223
nep_6834_7828553259,0.0,7.488666666666667,mfa_input,-50.92153079105474,-53.57001892507893,6.445252237044376,3.436460902817018
nep_9407_3266682112,0.0,3.5963333333333334,mfa_input,-53.021484375,-55.26655891614082,6.445252237044376,9.709508792470725
nep_3960_0009421021,0.0,3.53,mfa_input,-47.81415434667139,-48.69646290370396,6.330160423283057,13.441445821674035
nep_9407_2488033066,0.0,3.924,mfa_input,-50.10390425701531,-52.56497651880438,6.3301574810983485,5.006854240436564
nep_3997_5611658734,0.0,5.084333333333333,mfa_input,-47.19828063484252,-50.78067163835492,6.257581988150741,4.654630837639264
nep_2099_5327754802,0.0,9.674,mfa_input,-51.05425122802482,-52.4841647281825,6.1802796916416565,0.31320936253796283
nep_0546_5887506398,0.0,2.7546666666666666,mfa_input,-47.80375355113637,-48.03775147468813,6.1802796916416565,17.991360585881246
